Player,Team,Position,GP,TOI,Goals,Total Assists,First Assists,Second Assists,Total Points,IPP,Shots,SH%,ixG,iCF,iFF,iSCF,iHDCF,Rush Attempts,Rebounds Created,PIM,Total Penalties,Minor,Major,Misconduct,Penalties Drawn,Giveaways,Takeaways,Hits,Hits Taken,Shots Blocked,Faceoffs Won,Faceoffs Lost,Faceoffs %
Connor McDavid,EDM,C,224,3761.8,75,110,66,44,185,84.09,506,14.82,54.38,828,669,605,304,38,52,48,24,24,0,0,68,176,234,84,233,75,1043,1271,45.07
Nikita Kucherov,T.B,R,230,3411.4,71,105,57,48,176,82.24,494,14.37,38.85,926,712,508,153,28,37,90,44,44,0,0,60,150,132,98,233,58,0,0,-
Artemi Panarin,"CBJ, NYR","C, L",229,3640.4166666667,56,111,75,36,167,78.04,422,13.27,33.92,815,595,433,121,28,40,34,17,17,0,0,45,151,137,44,124,46,1,4,20.00
Patrick Kane,CHI,R,233,3834.0333333333,62,100,66,34,162,81.41,598,10.37,44.7,1027,768,568,188,27,50,54,26,26,0,0,49,101,117,57,204,49,6,13,31.58
Leon Draisaitl,EDM,C,231,3668.5,63,95,61,34,158,78.22,405,15.56,38.06,664,529,435,183,29,40,62,31,31,0,0,47,213,165,114,274,57,1392,1232,53.05
Nathan MacKinnon,COL,C,225,3541.5833333333,65,89,61,28,154,77.00,645,10.08,45.92,1060,825,621,212,34,70,49,22,21,1,0,68,119,108,128,207,72,1122,1516,42.53
Johnny Gaudreau,CGY,L,232,3457.8166666667,53,88,57,31,141,79.66,479,11.06,40.61,817,648,465,198,30,47,30,15,15,0,0,67,223,128,27,108,38,1,4,20.00
Brayden Point,T.B,C,227,3246,57,84,58,26,141,70.15,377,15.12,44.26,665,515,512,249,27,47,42,18,16,2,0,38,51,96,73,242,105,1071,1101,49.31
Brad Marchand,BOS,"C, L",217,2926.3166666667,57,81,51,30,138,78.41,386,14.77,34.5,682,524,431,187,29,38,108,47,44,2,1,75,172,115,115,205,41,82,118,41.00
Auston Matthews,TOR,C,200,3100.5333333333,79,58,40,18,137,75.69,515,15.34,49.35,911,725,640,244,28,54,24,12,12,0,0,32,150,179,81,243,160,1240,1052,54.10
Steven Stamkos,T.B,C,217,2935.0666666667,48,89,60,29,137,77.84,350,13.71,30.45,649,486,403,160,13,43,69,32,31,1,0,41,103,71,181,190,91,966,870,52.61
Alex Ovechkin,WSH,L,231,3432.9,83,52,33,19,135,71.05,606,13.70,51.67,1150,846,632,247,37,74,66,33,33,0,0,37,145,72,500,133,78,4,7,36.36
David Pastrnak,BOS,R,218,3080.5166666667,64,71,49,22,135,76.70,479,13.36,39.66,859,657,465,178,32,48,83,38,37,1,0,69,190,116,148,290,68,11,21,34.38
Claude Giroux,PHI,"C, R",233,3403.5666666667,49,84,46,38,133,70.74,403,12.16,29.51,718,542,371,137,16,29,44,22,22,0,0,43,100,91,84,111,46,1218,895,57.64
Mathew Barzal,NYI,C,232,3376.0666666667,43,89,57,32,132,83.02,376,11.44,36.55,638,490,434,210,18,38,86,42,42,0,0,65,238,172,63,257,125,757,1049,41.92
Aleksander Barkov,FLA,C,227,3407.7166666667,44,87,51,36,131,70.81,428,10.28,35.36,649,543,391,170,16,42,26,13,13,0,0,56,133,180,67,271,130,1837,1551,54.22
Evgeni Malkin,PIT,C,201,2886.5666666667,47,83,55,28,130,84.42,367,12.81,36.72,593,485,406,186,21,44,145,63,60,1,2,52,171,180,124,248,75,1175,1357,46.41
John Tavares,"NYI, TOR",C,227,3380.7333333333,64,64,40,24,128,68.82,490,13.06,50.51,867,681,600,267,33,59,62,30,30,0,0,42,153,117,107,235,102,1688,1493,53.07
Jonathan Huberdeau,FLA,"C, L",233,3319.9166666667,47,81,55,26,128,71.91,398,11.81,35.14,666,533,396,177,20,42,64,31,31,0,0,50,180,120,137,199,102,50,58,46.30
Mitchell Marner,TOR,"C, R",223,3187.9666666667,37,90,65,25,127,75.15,386,9.59,31.66,753,539,439,126,23,47,38,19,19,0,0,32,144,181,75,219,82,48,52,48.00
Sean Couturier,PHI,C,231,3443.5666666667,52,73,45,28,125,63.45,405,12.84,41.26,697,555,418,198,9,47,49,23,22,1,0,44,92,90,157,283,89,1307,1019,56.19
Mark Stone,"OTT, VGK",R,200,2962.1833333333,49,76,47,29,125,71.84,362,13.54,37.62,607,505,409,194,22,44,42,21,21,0,0,32,122,210,151,166,134,57,69,45.24
Sidney Crosby,PIT,C,202,3129.2166666667,40,83,57,26,123,76.88,403,9.93,41.2,645,540,425,226,19,46,71,28,26,1,1,32,129,103,174,166,85,1834,1566,53.94
Dylan Larkin,DET,C,229,3624.45,41,80,47,33,121,76.10,547,7.50,41.85,963,748,497,189,27,51,99,47,46,1,0,66,209,133,183,200,105,1582,1536,50.74
Sebastian Aho,CAR,"C, R",228,3237.7,53,68,44,24,121,70.76,418,12.68,42.82,788,612,471,216,27,56,46,23,23,0,0,44,143,165,163,259,60,832,933,47.14
Evgeny Kuznetsov,WSH,C,218,3019.1,37,84,53,31,121,73.78,315,11.75,29.06,535,435,313,145,25,28,94,47,47,0,0,41,142,98,121,95,55,1096,1507,42.11
Jake Guentzel,PIT,"C, L",203,3043.7,58,62,37,25,120,75.95,418,13.88,41.29,694,553,466,226,17,51,62,30,30,0,0,37,57,93,275,380,101,67,73,47.86
Mark Scheifele,WPG,C,213,3417.05,43,76,47,29,119,68.39,282,15.25,34.33,491,395,367,193,13,31,52,22,21,0,1,54,98,139,125,330,107,1434,1595,47.34
Evgenii Dadonov,FLA,R,225,3109.8666666667,47,71,42,29,118,67.05,405,11.60,39.42,698,554,421,201,30,43,18,9,9,0,0,36,109,109,76,273,89,2,0,100.00
Jack Eichel,BUF,C,212,3256.8333333333,49,66,39,27,115,73.72,490,10.00,35.6,791,641,412,177,27,43,44,22,22,0,0,58,147,97,141,214,109,1218,1520,44.49
William Karlsson,VGK,C,227,3162.2833333333,52,63,33,30,115,69.70,344,15.12,36.79,644,505,418,182,27,37,34,13,12,0,1,21,97,157,111,249,106,1143,1158,49.67
Kyle Connor,WPG,L,229,3320.7166666667,57,57,35,22,114,72.15,461,12.36,40.1,733,595,479,195,19,49,44,21,21,0,0,24,82,117,40,156,55,9,16,36.00
Jonathan Toews,CHI,C,226,3185.2833333333,43,71,45,26,114,70.37,412,10.44,36.89,651,513,418,195,31,42,85,41,40,1,0,31,103,144,109,296,70,1865,1417,56.83
Jonathan Marchessault,VGK,C,225,3223.95,44,69,47,22,113,68.90,548,8.03,43.28,936,708,493,175,32,51,72,36,36,0,0,38,137,135,270,248,55,342,498,40.71
Sean Monahan,CGY,C,222,3127.5833333333,49,64,40,24,113,70.63,397,12.34,41.01,675,525,469,216,21,31,41,18,17,1,0,30,106,146,127,88,60,1269,1211,51.17
Timo Meier,S.J,R,229,3103.5,55,58,33,25,113,75.84,538,10.22,52.07,952,750,621,289,35,69,88,40,38,2,0,61,99,116,341,328,111,77,90,46.11
Teuvo Teravainen,CAR,L,232,3086.6,36,77,49,28,113,71.07,343,10.50,29.58,625,494,333,139,17,34,24,11,11,0,0,14,110,116,73,153,55,45,61,42.45
Anze Kopitar,L.A,C,233,3652.9333333333,50,62,38,24,112,71.34,321,15.58,31.79,576,458,361,158,21,39,52,26,26,0,0,41,126,118,139,222,152,1937,1578,55.11
Blake Wheeler,WPG,R,234,3395.8666666667,41,71,42,29,112,72.73,454,9.03,34.41,759,606,418,162,18,48,95,46,45,1,0,47,93,83,258,197,124,415,447,48.14
